National University of Singapore (NUS),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,Poly,3.9254,,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,67.5,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.893,,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.88,,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NUS,ENGINEERING,Accepted by direct entry/discovery day
PR,JC,,73.75,,NUS,ENGINEERING,Rejected
PR,JC,,72,,NUS,ENGINEERING,Rejected
Singaporean,JC,,72,,NUS,ENGINEERING,Rejected
Singaporean,JC,,73.75,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,67.5,,NUS,ENGINEERING,Rejected
PR,JC,,76.25,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.58,,,NUS,ENGINEERING,Accepted by direct entry/discovery day
International,IB,,,43,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.55,,,NUS,ENGINEERING,Accepted by ABA
Singaporean,JC,,73.125,,NUS,ENGINEERING,Rejected
PR,JC,,73.75,,NUS,ENGINEERING (COMMON ADMISSIONS),Rejected
Singaporean,JC,,88.75,,NUS,ENVIRONMENTAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,82.125,,NUS,ENVIRONMENTAL STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,NUS,ENVIRONMENTAL STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NUS,ENVIRONMENTAL STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,NUS,FASS,Accepted by ABA
Singaporean,JC,,86.25,,NUS,GEOGRAPHY,Accepted by direct entry/discovery day
International,JC,,83.75,,NUS,HUMANITIES AND SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NUS,HUMANITIES AND SCIENCE,Rejected
Singaporean,JC,,81.25,,NUS,HUMANITIES AND SCIENCE,Accepted by direct entry/discovery day
International,JC,,83.75,,NUS,HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NUS,HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,79.875,,NUS,HUMANITIES AND SCIENCES,Accepted by ABA
Singaporean,Poly,3.68,,,NUS,HUMANITIES AND SCIENCES,Accepted by ABA
Singaporean,IB,,,44,NUS,HUMANITIES AND SCIENCES: ENGLISH LITERATURE,Accepted by direct entry/discovery day
