Singapore Management University (SMU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,78.75,,SMU,Ple,Accepted by ABA
Singaporean,IB,,,43,SMU,"Political Science, Psychology And Sociology And Economics Double Degree",Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,"Political Science, Psychology Or Sociology",Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,"Political Science, Psychology Or Sociology",Accepted by ABA
Singaporean,JC,,83.5,,SMU,"Political Science, Psychology, Sociology",Accepted by direct entry/discovery day
Singaporean,JC,,76.5,,SMU,"Political Science, Psychology, Sociology",Accepted by ABA
Singaporean,JC,,81 RP,,SMU,Political Science/Psychology/Sociology,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,SMU,Political Science/Psychology/Sociology,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,SMU,Politics Law Economics,Accepted by direct entry/discovery day
PR,JC,,83.25,,SMU,Politics Law Economics,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,"Politics, Law And Economics",Accepted by ABA
Singaporean,JC,,80,,SMU,"Politics, Law And Economics",Accepted by ABA
Singaporean,JC,,78.75,,SMU,"Politics, Law And Economics",Accepted by ABA
Singaporean,JC,,87.75,,SMU,"Politics, Law, & Economics",Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,SMU,"Politics, Law, Economics",Accepted by direct entry/discovery day
Singaporean,JC,,81,,SMU,"Politics, Law, Economics",Accepted by ABA
Singaporean,JC,,83.75,,SMU,"Politics, Law, Economics",Accepted by direct entry/discovery day
International,JC,,85.5,,SMU,"Politics, Law, Econs",Accepted by direct entry/discovery day
Singaporean,JC,,90,,SMU,"Politics, Psychology, Sociology",Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,"Politics, Psychology, Sociology",Accepted by direct entry/discovery day
Singaporean,Poly,3.68,,,SMU,Pps,Accepted by ABA
Singaporean,Poly,3.88,,,SMU,Pps,Accepted by direct entry/discovery day
Singaporean,JC,,74.25,,SMU,"Psychology, Sociology And Political Science",Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,School Of Social Sciences,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,SMU,"School Of Social Sciences (Political Science, Psychology Or Sociology)",Accepted by direct entry/discovery day
Singaporean,Poly,3.66,,,SMU,Social Science (Pps),Accepted by ABA
Singaporean,JC,,75,,SMU,Social Science Pps,Accepted by ABA
Singaporean,JC,,75,,SMU,"Social Sciences (Politics, Psychology And Sociology)",Accepted by ABA
PR,JC,,75,,SMU,"Social Sciences Political Science, Psychology Or Sociology Major",Accepted by ABA
Singaporean,Poly,3.83,,,SMU,Software Engineering,Accepted by direct entry/discovery day
Singaporean,IB,,,38,SMU,Software Engineering,Accepted by direct entry/discovery day
Singaporean,Poly,3.9,,,SMU,Software Engineering,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,Software Engineering,Accepted by direct entry/discovery day
PR,JC,,77,,SMU,Software Engineering,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,SMU,Software Engineering,Accepted by direct entry/discovery day
Singaporean,JC,,75,,SMU,Software Engineering,Accepted by ABA
Singaporean,JC,,86.25,,SMU,Software Engineering,Accepted by direct entry/discovery day
Singaporean,JC,,75,,SMU,Software Engineering Work Study Degree,Accepted by ABA
Singaporean,JC,,81.25,,SMU,"Soss (Sociology, Psychology, Political Science)",Accepted by direct entry/discovery day
